book,page,img,panel_area,panel_width,panel_length,balloon_to_panel_ratio,detected_chars,character_model_confidence,balloon_model_confidence,detected_balloon_numbers,associated_balloon_numbers,associated_characters,text
T_19,4,ROI_65.png,443006,718,617,0.119,"['haddock', 'tintin']","[0.942, 0.904]",[0.921],1,['1'],{0: 'tintin'},"[""Good heavens! my Who's done this to you?! ""]"
T_19,4,ROI_66.png,271920,440,618,0.136,['tintin'],[0.809],[0.893],1,['1'],{0: 'tintin'},"[""I'll get to the bottom of it! ""]"
T_19,4,ROI_67.png,178313,289,617,0.0,['haddock'],[0.736],[],0,[],{},[]
T_19,4,ROI_68.png,317856,516,616,0.0,[],['NONE'],[],0,[],{},[]
T_19,4,ROI_69.png,341940,556,615,0.14,"['tintin', 'haddock']","[0.945, 0.912]",[0.853],1,['1'],{0: 'tintin'},"[""hey, captain, whack's happened to you ""]"
T_19,4,ROI_70.png,381286,622,613,0.26,"['haddock', 'tintin']","[0.937, 0.909]",[0.852],1,['1'],{0: 'haddock'},"[""billions. of blue. blistering bar- nacles! Who's the thundering son of a sea-gherkin. who did nestor nestor ""]"
T_19,4,ROI_71.png,146318,491,298,0.131,"['tintin', 'haddock']","[0.927, 0.833]",[0.655],1,['1'],{0: 'haddock'},"[""Haraiah's ""]"
T_19,4,ROI_72.png,439624,716,614,0.138,['tintin'],[0.944],"[0.844, 0.627]",2,['1'],"{0: 'tintin', 1: 'NaN'}","['UNKNOWN', 'rrhdahl. ']"
T_19,4,ROI_73.png,147108,492,299,0.206,['tintin'],[0.949],[0.792],1,[],{0: 'NaN'},['th. th. there behind you ']
T_19,5,ROI_76.png,364056,591,616,0.117,['tintin'],[0.833],"[0.872, 0.861]",2,['2'],"{0: 'NaN', 1: 'tintin'}","['wraouh. ', 'Abdulla HI.... ']"
T_19,5,ROI_77.png,210056,341,616,0.108,['haddock'],[0.961],[0.871],1,['1'],{0: 'haddock'},['Abdullah?.... ']
T_19,5,ROI_78.png,239850,390,615,0.085,['haddock'],[0.966],[0.941],1,[],{0: 'NaN'},['tabdullahi. ']
T_19,5,ROI_79.png,303810,494,615,0.12,['haddock'],[0.936],[0.887],1,['1'],{0: 'haddock'},['Abdullah! Blistering ']
T_19,5,ROI_80.png,368385,599,615,0.0,['haddock'],[0.97],[],0,[],{},[]
T_19,5,ROI_81.png,436128,708,616,0.079,"['haddock', 'tintin']","[0.957, 0.791]",[0.752],1,[],{0: 'NaN'},"['Again. Blistering Barnacles Fall downstairs "" again! ']"
T_19,5,ROI_82.png,325776,528,617,0.294,['haddock'],[0.942],"[0.891, 0.874]",2,['1'],"{0: 'haddock', 1: 'NaN'}","[""You young ruffian tell me what you're doing here! "", ""wait wait, blistering barnacles. i've got something for you. ""]"
T_19,5,ROI_83.png,290752,472,616,0.151,"['tintin', 'haddock']","[0.931, 0.779]","[0.901, 0.797]",2,['2'],"{0: 'NaN', 1: 'haddock'}","['yes, a present. ', 'Something for me? ']"
T_19,5,ROI_84.png,186345,303,615,0.399,['haddock'],[0.969],[0.93],1,['1'],{0: 'haddock'},"['a present. something specially for me, brought from his country. expect. dear ']"
T_19,5,ROI_85.png,293832,477,616,0.281,"['tintin', 'haddock', 'snowy']","[0.95, 0.945, 0.815]","[0.856, 0.753]",2,['2'],"{0: 'NaN', 1: 'haddock'}","[""It's for you, Blistering barnacles. from me thank you, "", 'thank you, Abdullah. ']"
T_19,5,ROI_86.png,346137,561,617,0.232,['haddock'],[0.926],[0.819],1,[],{0: 'NaN'},"[""cuckoo-clock why, it's magnificent, Abdullah! you see. to wind i't up. ""]"
T_19,5,ROI_87.png,330255,537,615,0.056,[],['NONE'],[0.855],1,[],{0: 'NaN'},['you do that ']
T_19,5,ROI_88.png,308382,499,618,0.264,['haddock'],[0.96],"[0.927, 0.866]",2,[],"{0: 'NaN', 1: 'NaN'}","[""Ten thousand thundering typhoons! Don't think you'll get away with that! "", 'waaahi ']"
T_19,5,ROI_89.png,493246,793,622,0.031,"['haddock', 'tintin']","[0.957, 0.914]","[0.655, 0.65]",2,"['1', '2']","{0: 'haddock', 1: 'tintin'}","['?', '?']"
T_19,6,ROI_91.png,200283,661,303,0.308,['haddock'],[0.932],[0.735],1,['1'],{0: 'haddock'},"['Mr Hassim, servant to His Highness Prince Abdullah ']"
T_19,6,ROI_92.png,307883,499,617,0.0,[],['NONE'],[],0,[],{},[]
T_19,6,ROI_93.png,410766,669,614,0.275,"['haddock', 'tintin']","[0.957, 0.897]","[0.813, 0.783]",2,['1'],"{0: 'haddock', 1: 'NaN'}","[""Read that, Tintin it's for you. Hassim, what does the Emir me mean. the situation is serious 2, 000 "", 'know. not, effendi ']"
T_19,6,ROI_94.png,198237,663,299,0.278,['haddock'],[0.938],[0.688],1,['1'],{0: 'haddock'},['and bring you. message my master. ']
T_19,6,ROI_95.png,295064,479,616,0.364,"['haddock', 'tintin']","[0.964, 0.894]",[0.971],1,['1'],{0: 'haddock'},"[""What d'you make of it? One thing's clear : we've Abdullah on our hands. We'll have to bring the to heel. ""]"
T_19,6,ROI_96.png,143100,530,270,0.0,[],['NONE'],[],0,[],{},[]
T_19,6,ROI_97.png,511704,828,618,0.135,['haddock'],[0.968],"[0.845, 0.729]",2,[],"{0: 'NaN', 1: 'NaN'}","[""Abdullah!. you little brat. I'm going to teach you a lesson. "", 'waah! ']"
T_19,6,ROI_98.png,173964,532,327,0.0,['haddock'],[0.943],[],0,[],{},[]
T_19,6,ROI_99.png,270280,580,466,0.187,['haddock'],[0.952],[0.719],1,[],{0: 'NaN'},['Halt thou!. Touch not the son of my Master! ']
T_19,6,ROI_100.png,277736,596,466,0.416,['haddock'],[0.924],[0.703],1,['1'],{0: 'haddock'},"[""Touch not! Touch not! arabesque, you! d'you imagine I'm going to let that little pest raise Cain in my house? ""]"
T_19,6,ROI_101.png,308412,659,468,0.145,['haddock'],[0.938],[0.952],1,[],{0: 'NaN'},"['Just wait till I find you, you young rapscallion. ']"
T_19,6,ROI_102.png,419196,543,772,0.268,['haddock'],[0.949],"[0.895, 0.74]",2,['2'],"{0: 'NaN', 1: 'haddock'}","[""Oh girl. It's terrible, All those foreign per- sons have settled themselves. "", 'Later, Nestor tell me later. ']"
T_19,6,ROI_103.png,1013940,1310,774,0.028,[],['NONE'],[0.797],1,[],{0: 'NaN'},['in the state-rooms! ']
T_19,7,ROI_106.png,499344,808,618,0.0,['haddock'],[0.9],[],0,[],{},[]
T_19,7,ROI_107.png,287672,467,616,0.06,['haddock'],[0.93],[0.804],1,['1'],{0: 'haddock'},['?']
T_19,7,ROI_108.png,340648,553,616,0.0,[],['NONE'],[],0,[],{},[]
T_19,7,ROI_109.png,309734,502,617,0.141,['haddock'],[0.753],[0.891],1,['1'],{0: 'haddock'},['Blue blistering barnacles in a thundering typhoon! ']
T_19,7,ROI_110.png,249457,403,619,0.136,[],['NONE'],[0.924],1,[],{0: 'NaN'},"[""All right. All right! I'm coming! ""]"
T_19,7,ROI_111.png,250908,406,618,0.0,['haddock'],[0.947],[],0,[],{},[]
T_19,7,ROI_112.png,313214,506,619,0.249,['haddock'],[0.817],[0.972],1,['1'],{0: 'haddock'},"[""hello? hello?. who?. what Who'd you want? no, madam. butcher ""]"
T_19,7,ROI_113.png,223971,363,617,0.146,[],['NONE'],[0.865],1,[],{0: 'NaN'},['# it? 2.000000433222 ']
T_19,7,ROI_114.png,305536,496,616,0.0,[],['NONE'],[],0,[],{},[]
T_19,7,ROI_115.png,314265,511,615,0.08,[],['NONE'],[0.878],1,[],{0: 'NaN'},['UNKNOWN']
T_19,7,ROI_116.png,274120,445,616,0.323,"['t-t', 't-t']","[0.977, 0.94]","[0.905, 0.884]",2,"['1', '2']","{0: 't-t', 1: 't-t'}","[""To be precise, I'd say. "", ""No answer? I suppose they're all asleep still. ""]"
T_19,7,ROI_117.png,244949,397,617,0.163,['t-t'],[0.887],[0.696],1,['1'],{0: 't-t'},"['ello, ']"
T_19,7,ROI_118.png,153114,507,302,0.306,['haddock'],[0.843],[0.95],1,['1'],{0: 'haddock'},"['hello?. who\'s that? Thompson? what? Oh yes, with a "" p. "" Weliz, ']"
T_19,7,ROI_119.png,289540,467,620,0.136,['haddock'],[0.831],[0.892],1,['1'],{0: 'haddock'},['err. go on ']
T_19,7,ROI_120.png,274482,442,621,0.354,['haddock'],[0.837],[0.939],1,['1'],{0: 'haddock'},"[""Is Tintin here this morning?. Yes. You'd right. what?. know General we Alcazar?. ""]"
T_19,7,ROI_121.png,151384,508,298,0.222,"['t-t', 'haddock']","[0.88, 0.823]",[0.943],1,['1'],{0: 'haddock'},"[""I... I. I'm disturbing not you, ann I? ""]"
T_19,8,ROI_123.png,229278,371,618,0.359,['haddock'],[0.824],[0.923],1,['1'],{0: 'haddock'},"[""You'll explain that to Tintin later? good what? no no trouble. at all ""]"
T_19,8,ROI_124.png,240240,390,616,0.185,['haddock'],[0.836],[0.918],1,['1'],{0: 'haddock'},"[""Ringing up when I'm in the bath! ask you. ""]"
T_19,8,ROI_125.png,385605,627,615,0.389,"['haddock', 'tintin']","[0.941, 0.845]","[0.896, 0.605]",2,"['1', '2']","{0: 'haddock', 1: 'tintin'}","[""yes. Talking of odd things where's Abdullah this morning? "", ""well. well Thompson and Thom- son. And they want to talk to me about General Alcazar. Odd, isn't it? ""]"
T_19,8,ROI_126.png,264634,431,614,0.14,"['haddock', 'tintin']","[0.953, 0.888]","[0.956, 0.841]",2,"['1', '2']","{0: 'haddock', 1: 'tintin'}","['Blistering barnacles, here he comes! ', 'UNKNOWN']"
T_19,8,ROI_127.png,401556,654,614,0.095,"['haddock', 'tintin', 'calculus']","[0.944, 0.878, 0.876]","[0.948, 0.827]",2,"['1', '2']","{0: 'tintin', 1: 'haddock'}","['Good gracious! ', ""no, it's Calculus. ""]"
T_19,8,ROI_128.png,267090,435,614,0.0,['calculus'],[0.806],[],0,[],{},[]
T_19,8,ROI_129.png,456685,745,613,0.0,['tintin'],[0.876],[],0,[],{},[]
T_19,8,ROI_130.png,390450,685,570,0.0,['tintin'],[0.877],[],0,[],{},[]
T_19,8,ROI_131.png,318648,561,568,0.298,"['haddock', 'tintin', 'calculus']","[0.972, 0.92, 0.77]","[0.963, 0.855]",2,"['1', '2']","{0: 'calculus', 1: 'haddock'}","['Very well, thanks. And you? ', ""you goat, you d'you often feel imperied to come to break- fast on roller-skates? ""]"
T_19,8,ROI_132.png,332865,585,569,0.384,"['haddock', 'tintin']","[0.975, 0.924]",[0.822],1,[],{0: 'NaN'},"[""Now admit it. You're puzzled to see me come in like that. Yes, yes, you find it odd, don't it! well, I can't tell you anything more at present. ""]"
T_19,8,ROI_133.png,340480,512,665,0.165,"['haddock', 'tintin', 'calculus']","[0.956, 0.907, 0.776]","[0.934, 0.78]",2,['1'],"{0: 'calculus', 1: 'NaN'}","['but quite soon see my reason for it. ', 'UNKNOWN']"
T_19,8,ROI_134.png,465464,701,664,0.139,"['calculus', 'haddock', 'tintin']","[0.943, 0.937, 0.908]","[0.92, 0.904, 0.889]",3,"['1', '2', '3']","{0: 'haddock', 1: 'calculus', 2: 'tintin'}","[""The Thompson's? already. "", 'ah! Now for some breakfast. ', 'd "" you think so? ']"
T_19,8,ROI_135.png,411680,620,664,0.0,[],['NONE'],[],0,[],{},[]
T_19,9,ROI_138.png,281808,456,618,0.0,"['haddock', 'tintin']","[0.935, 0.872]",[],0,[],{},[]
T_19,9,ROI_139.png,328861,533,617,0.259,"['haddock', 'tintin']","[0.957, 0.91]",[0.953],1,[],{0: 'NaN'},"[""you thundering nitwitted numskull you! Haven't you finished acting the goat yet? ""]"
T_19,9,ROI_140.png,264880,430,616,0.318,['haddock'],[0.922],[0.941],1,[],{0: 'NaN'},"['found no one the first time. sir. But the second time, I saw Abdullah running away. ']"
T_19,9,ROI_141.png,240240,390,616,0.357,['haddock'],[0.949],[0.93],1,['1'],{0: 'haddock'},"[""bet that's him! But he won't get away with it this time. nestor, go the hose- pipe! ""]"
T_19,9,ROI_142.png,266476,434,614,0.315,['haddock'],[0.968],[0.94],1,['1'],{0: 'haddock'},"[""now,. as soon as he rings, you open the door. and then : pashmitti we'll get laugh! a good ""]"
T_19,9,ROI_143.png,313243,511,613,0.09,['haddock'],[0.939],[0.961],1,[],{0: 'NaN'},"[""That's it!. quick, open ""]"
T_19,9,ROI_144.png,543660,884,615,0.0,['haddock'],[0.937],[],0,[],{},[]
T_19,9,ROI_145.png,437360,710,616,0.207,"['haddock', 't-t', 't-t']","[0.958, 0.847, 0.749]",[0.697],1,['1'],{0: 'haddock'},"[""I I'm deadfully sorry! please for- give me! You see, it's Abdullah's fault. the young rapscallion kept ringing the bell. ""]"
T_19,9,ROI_146.png,74907,261,287,0.251,[],['NONE'],[0.928],1,[],{0: 'NaN'},"['Ha"" Ha"" Ha"" ha! ']"
T_19,9,ROI_147.png,76916,268,287,0.0,[],['NONE'],[],0,[],{},[]
T_19,9,ROI_148.png,349222,566,617,0.42,"['t-t', 't-t', 'tintin']","[0.973, 0.882, 0.815]",[0.94],1,['1'],{0: 't-t'},"[""well, here's the posi tion. interpol have asked us to keep an eye on a man called Dawson, and to collect all the information we can about his activities ""]"
T_19,9,ROI_149.png,168543,549,307,0.0,[],['NONE'],[],0,[],{},[]
T_19,9,ROI_150.png,350550,570,615,0.414,"['t-t', 't-t', 'tintin']","[0.962, 0.939, 0.868]","[0.945, 0.914]",2,"['1', '2']","{0: 't-t', 1: 'tintin'}","['and also about the people he meets. It so happens that you know. one of them : General alcazar. What can you tell us about him? ', 'Very little. as a matter of fact. ']"
T_19,9,ROI_151.png,328328,533,616,0.585,['tintin'],[0.952],[0.876],1,['1'],{0: 'tintin'},"[""il knew him when he was President of the Republic of San Theodoros. He'd been general country. He'd become a ""]"
T_19,9,ROI_152.png,445984,724,616,0.235,"['t-t', 't-t', 'tintin']","[0.973, 0.912, 0.896]","[0.752, 0.726]",2,"['1', '2']","{0: 'tintin', 1: 't-t'}","['pr ', 'A112 Really? And what did he say to you, when you met him last night? ']"
T_19,10,ROI_154.png,392392,637,616,0.129,"['t-t', 't-t', 'tintin']","[0.965, 0.93, 0.888]",[0.756],1,['1'],{0: 't-t'},['To be precise we know nothing in our job! ']
T_19,10,ROI_155.png,349366,569,614,0.502,"['t-t', 'tintin']","[0.928, 0.865]","[0.913, 0.886]",2,"['1', '2']","{0: 'tintin', 1: 't-t'}","[""It's true that we met him last night. I was going to tell you. He said he was travelling. he was in a hurry, and he was staying at the Hotel. err. the Hotel. "", 'excelsior ; yes, we know. ']"
T_19,10,ROI_156.png,383145,623,615,0.351,"['t-t', 't-t', 'tintin']","[0.968, 0.942, 0.925]",[0.923],1,[],{0: 'NaN'},"[""why, are we suspect? i mean, what do we suspect? My dear feel- if you imagine we'll tell you he's smuggling aircraft, mum's the word. ' that's ""]"
T_19,10,ROI_157.png,382540,620,617,0.52,"['t-t', 'tintin']","[0.957, 0.929]","[0.953, 0.734]",2,"['1', '2']","{0: 'tintin', 1: 't-t'}","['goodbye. ', ""well said! To be precise dumb's the word motto. the general may have come to Europe. to buy. up old. aircraft, but you won't learn. that from now. we must be going. goodbye, tintin. ""]"
T_19,10,ROI_158.png,313436,508,617,0.139,"['t-t', 'tintin', 'snowy']","[0.975, 0.876, 0.853]",[0.928],1,[],{0: 'NaN'},['ah! with our hats and sticks. ']
T_19,10,ROI_159.png,434620,701,620,0.273,"['t-t', 't-t']","[0.92, 0.919]","[0.915, 0.73]",2,"['1', '2']","{0: 't-t', 1: 't-t'}","[""How strange. With me it's the opposite : I've got a swollen head "", 'What a very peculiar thing : my hat has shrunk ']"
T_19,10,ROI_160.png,398372,652,611,0.353,"['t-t', 't-t']","[0.945, 0.82]","[0.907, 0.719]",2,"['1', '2']","{0: 't-t', 1: 't-t'}","[""That's it our mats are in a huddle. in short. we're contrarywise. "", 'oh. I see. got have my hat and have yours. ']"
T_19,10,ROI_161.png,362766,587,618,0.109,"['t-t', 't-t', 'tintin']","[0.971, 0.879, 0.831]","[0.953, 0.853]",2,"['1', '2']","{0: 't-t', 1: 't-t'}","[""But it still isn't right! "", 'Nor is mine! ']"
T_19,10,ROI_162.png,362850,590,615,0.192,"['t-t', 't-t', 't-t']","[0.925, 0.891, 0.797]","[0.949, 0.928]",2,"['1', '2']","{0: 't-t', 1: 't-t'}","['Abdullah? ', ""may see?. you can bet. Abdullah's behind this ""]"
T_19,10,ROI_163.png,412720,670,616,0.205,"['t-t', 't-t']","[0.962, 0.73]",[0.825],1,[],{0: 'NaN'},"[""there il thought as much. It's an old joke : newspapers folded up and slipped into the band. ""]"
T_19,10,ROI_164.png,357962,583,614,0.088,['tintin'],[0.952],[0.781],1,['1'],{0: 'tintin'},['Abdullah and his bricks! ']
T_19,10,ROI_165.png,354240,576,615,0.161,"['haddock', 'tintin', 'snowy']","[0.959, 0.823, 0.754]","[0.935, 0.703]",2,"['1', '2']","{0: 'haddock', 1: 'tintin'}","['Well, what did our Siamese twins. wantz ', 'UNKNOWN']"
T_19,11,ROI_167.png,289520,470,616,0.192,"['tintin', 'haddock']","[0.934, 0.919]",[0.933],1,['1'],{0: 'tintin'},['Just read this advertise- old newspaper! ']
T_19,11,ROI_168.png,266476,434,614,0.395,[],['NONE'],[0.692],1,[],{0: 'NaN'},['sale for mankid. fitc. box ex-written. jid. nacio from dr. 5083. no. ']
T_19,11,ROI_169.png,314982,513,614,0.582,"['tintin', 'haddock']","[0.947, 0.943]","[0.916, 0.915]",2,"['1', '2']","{0: 'tintin', 1: 'haddock'}","['Maybe. But did you notice ', 'extraordinary. why don\'t they add on easy. see, up buying a battleship or the "" Queen Mary. \' on the never-never ']"
T_19,11,ROI_170.png,243758,397,614,0.436,"['haddock', 'tintin']","[0.95, 0.936]","[0.94, 0.936]",2,"['1', '2']","{0: 'haddock', 1: 'tintin'}","['J.D.M.C. j. D.M.C. thundering wallet! The signature ', 'precisely! ']"
T_19,11,ROI_171.png,311585,505,617,0.596,"['haddock', 'tintin']","[0.948, 0.924]","[0.901, 0.872]",2,"['1', '2']","{0: 'tintin', 1: 'haddock'}","[""No doubt about it : the general's here to buy. armaments. But that's no reason for failing to return his wallet. and since Thompson and Thomson have kindly told us the right address. "", ""i'll come. with you. ""]"
T_19,11,ROI_172.png,336336,546,616,0.277,"['haddock', 'tintin']","[0.969, 0.892]","[0.971, 0.879]",2,['2'],"{0: 'NaN', 1: 'tintin'}","[""General Alcazar 2. Yes, he's here, sir. I just saw him. past. You'll Find him in the lounge. "", 'thank you. ']"
T_19,11,ROI_173.png,226439,367,617,0.0,['tintin'],[0.85],[],0,[],{},[]
